complexity	rx	comment
1	CCCCCC/C=C(/[Mg]CC)[Si](C)(C)C>>CCCCCC/C=C\[Si](C)(C)C	ok
1	CN(C)P(C#N)N(C)C>>CNC	ok
1	C/C=C/S(F)(F)(F)(F)F>>C/C=C/[S+](F)(F)(F)F	ok
1	CC(C)(C)OC(=O)C[C@H](NC(=O)OCc1ccccc1)C(=O)OC=[N+]=[N-]>>COC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1	incorrect entry
1	CCCCCS(=NS(=O)(=O)c1ccc(Cl)cc1)N(S(=O)(=O)c1ccc(Cl)cc1)[Sn](C)(C)C>>CCCCCS(=NS(=O)(=O)c1ccc(Cl)cc1)NS(=O)(=O)c1ccc(Cl)cc1	ok
1	CC(C)=O.NN(C=CC(=O)c1ccccc1)c1ccccc1>>O=C(C=CNc1ccccc1)c1ccccc1	suspicious, probably multistep
1	COS(=O)(=O)ON=O.O>>COS(=O)(=O)O	ok
1	COC(NC=O)(C(C)=O)C(=O)Nc1ccccc1>>COC(NC=O)C(=O)Nc1ccccc1	ok
1	O=S=NC(=O)OCCCl>>NC(=O)OCCCl	ok
1	CC[AlH3](Cl)CC>>CC[AlH3+]CC	ok
1	CC(C)(C)O[Si](c1ccccc1)(c1ccccc1)[Sn](C)(C)C>>CC(C)(C)O[Si-](c1ccccc1)c1ccccc1	unstable product
1	O=S(Sc1ccccc1)c1ccccc1>>O=[S]c1ccccc1	unstable product
1	C[SH]=C=[SH]OC1[C@H](O[Si](C)(C)C(C)(C)C)CC2=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)(C)O)[C@@]4(C)CC[C@@H]3[C@@]2(C)[C@H]1F>>C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[Si](C)(C)C(C)(C)C)C[C@H](F)[C@]4(C)[C@H]3CC[C@@]21C	incorrect structure of the substrate
1	O.O=C(O)[As](C(=O)O)c1ccccc1>>[AsH2]c1ccccc1	suspicious
1	CI.NC(N)(I)Sc1ccccc1>>CSc1ccccc1	mechanistic step
1	C[Te]P(C(F)(F)F)C(F)(F)F>>FC(F)(F)PC(F)(F)F	ok
