complexity	rx	comment
1	CCCCCC.C[Al]1CCCCO1.Cc1ccccc1.ClC(Cl)=[Ti](C1C=CC=C1)C1C=CC=C1>>C=[Ti](C1C=CC=C1)C1C=CC=C1	highly suspicious
1	Cc1cnccc1NC(=O)C(C)(C)C.[Na+].[OH-]>>CC(=O)Nc1ccncc1C	multistep or incorrect structure of the product or substate.Reaction type described by this entry remains unknown.
1	CCCCO.CCCCOC(=O)OCCCC.CCCC[Sn+](CCCC)CCCC>>CCCC[Sn+2]CCCC	highly suspicious
1	O=C(O)O[O-].OO.[Cl-].[Na+].[Na+]>>O=C(O)O	highly suspicious. Product is unstable
1	CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)CC(=O)O[C@@H](c1ccccc1)C(O)(c1ccccc1)c1ccccc1.[Na]>>COC(=O)C[C@H](O)/C=C/n1c(C(C)C)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1	multistep or incorrect structure of product or substate.Reaction type described by this entry remains unknown.
1	CN(CC1COCCO1)S(=O)(=O)NC(=O)OC(C)(C)C.O=C(O)C(F)(F)F>>CN(C[C@@H]1COCCO1)S([NH3+])(=O)=O	ok
1	CC(=O)O.CCO[Si](CCCN)(OCC)OCC>>CCO[SiH](OCC)OCC	multistep or incorrect structure of product or substate.Reaction type described by this entry remains unknown.
1	C=O.C[Si](C)(C)CCP(CC[Si](C)(C)C)(CC[Si](C)(C)C)(c1ccccc1)c1ccccc1.Cl[Rh](Cl)Cl.O.O.O.[K+].[OH-]>>C[Si](C)(C)CCP(c1ccccc1)c1ccccc1	Error in the patent
1	CC(C)(C)C(OCCOCCOCCOCCN)(C(=O)O)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)OCc1ccccc1)NC(=O)CCNC(=O)c1ccc(-c2nc(=O)o[nH]2)cc1>>NCCOCCOCCOCCOC(C(=O)O)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)OCc1ccccc1)NC(=O)CCNC(=O)c1ccc(-c2nc(=O)o[nH]2)cc1	highly suspicious. Probably error in the substrate or product.
1	CCC(C)=O.CSC1=N[C@@H]2CCCC[C@H]2N1.Cl.I.NCC(c1ccccc1)c1ccccc1>>C1=N[C@@H]2CCCC[C@H]2N1	multistep
