template	popularity	first_year
NC=O>>N.O=CO	63434	1976
OC=O>>COC=O	38088	1976
cN>>N.cI	32694	1976
c-c>>cB(O)O.cI	27413	1989
[2C]O>>O.[2C]I	23876	1976
N>>NC(=O)O	23130	1976
[2C]N>>N.[2C]I	21111	1976
NC=O>>N.O=CI	18868	1976
CN>>C=O.N	17366	1976
N>>O=[N+][O-]	15779	1976
[2C]n>>[2C]I.n	12938	1976
NS(=O)=O>>N.O=S(=O)I	10803	1976
O>>CO	10151	1976
cO>>O.cI	8904	1976
OC=O>>O.O=CO	7851	1976
[2C]N[4C]>>[2C]I.[4C]N	7278	1976
CO>>C=O	7105	1976
C=O>>CO	7039	1976
CO>>O=CO	6067	1976
cC#C>>C#C.cI	5421	1981
CO>>CO.O	4971	1976
NC(N)=O>>N.N=C=O	4871	1976
OS(=O)=O>>O.O=S(=O)I	4657	1976
NC(O)=O>>N.OC(=O)I	4228	1976
cc(c)N>>N.cc(c)F	4098	1976
[2C]S>>S.[2C]I	3703	1976
NC(O)=O>>N.OC(=O)OC=O	3578	1977
NC=O>>N.O=COC=O	3519	1976
CC>>C=C	3518	1976
N>>NC=O	3453	1976
N>>CN	3438	1976
OC=O>>O.O=CI	3405	1976
O>>O[Si]	3254	1977
C=C[1C]>>C=O.C[1C]	3227	1976
cc(c)O>>O.cc(c)F	3201	1977
C=NO>>C=O.NO	3088	1976
cc(c)I>>[4C]NI.ccc	3033	1976
CN>>NC=O	2972	1976
O>>OC=O	2961	1976
[2C]OC=O>>OC=O.[2C]I	2911	1976
c-n>>cI.n	2813	1976
[1C]C[2C]>>C[1C].[2C]I	2741	1976
cc(c)I>>II.ccc	2654	1976
cN[4C]>>[4C]N.cI	2540	1976
NCCO>>C1CO1.N	2522	1976
O[Si]>>O.[Si]I	2371	1976
cS>>S.cI	2194	1976
CO>>OC=O	2184	1976
cB(O)O>>OB(O)B(O)O.cI	2159	2000
ONC=O>>NO.O=CO	2113	1976
NNC=O>>NN.O=CO	2101	1976
cCO>>C=O.cI	2096	1976
CN>>C#N	2074	1976
CI>>CO.O=S(I)I	2060	1976
[2C]CO>>C=O.[Li][2C]	2021	1976
cc(c)[N+](=O)[O-]>>O=[N+]([O-])O.ccc	1995	1976
NC(N)=O>>N.NC(=O)O	1975	1976
CC[1C]>>C=C[1C]	1956	1976
C=O>>COCO	1934	1976
OC=O>>O.O=COC=O	1901	1976
O=CI>>O=CO.O=S(I)I	1885	1976
CI>>C.[4C]NI	1838	1976
c-c>>cI.c[Sn]	1817	1989
N>>N=[N+]=[N-]	1804	1976
C=NN>>C=O.NN	1709	1976
n>>nCO	1704	1979
cc(c)C=O>>O=CI.ccc	1688	1976
[4C]NC=O>>O=CO.[4C]N	1632	1976
c>>cI	1631	1976
O=S>>OOC=O.S	1542	1976
cC=C>>C=C.cI	1473	1978
N>>O=CNC=O	1421	1976
cC=C>>C=CB(O)O.cI	1366	1997
n>>Cn	1320	1976
NC=O>>O=CO.[N+]	1300	1976
[2C]N=[N+]=[N-]>>[2C]I.[N-]=[N+]=[N-]	1292	1976
[1C]C([1C])[2C]>>[1C]C[1C].[2C]I	1287	1976
O>>OCO	1282	1976
NC(N)=O>>N.NC(=O)I	1275	1976
OS(=O)=O>>O.O=S(=O)O[SH](=O)=O	1266	1979
